code,scheme,resolution_deg,native_resolution_deg,coarsen_lat_factor,coarsen_lon_factor,hours,native_points,processed_points,point_hours,source_bytes,capacity_layout,capacity_years,wind_capacity_mw,solar_capacity_mw,wind_capacity_mw_start,wind_capacity_mw_end,solar_capacity_mw_start,solar_capacity_mw_end,wind_outside_grid_mw_max,solar_outside_grid_mw_max,wind_outside_grid_points_max,solar_outside_grid_points_max,wind_weight_fallback,solar_weight_fallback,wind_capacity_absent,solar_capacity_absent,wind_low_coverage,solar_low_coverage,wind_fallback_years,solar_fallback_years,compute_s,write_s,total_s,point_hours_per_s,peak_rss_mb,run_id,workers,task_wall_s,source_kind,source_open_s,graph_build_s,system_scope,wind_out_of_system_scope_mw_max,solar_out_of_system_scope_mw_max,wind_out_of_system_scope_points_max,solar_out_of_system_scope_points_max,aggregation_point_hours_per_s,wind_occupied_cells,solar_occupied_cells,combined_occupied_cells,wind_effective_cells,solar_effective_cells,combined_effective_cells
si,capacity,0.5,0.25,2,2,37944,120,32,1214208,9505078,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,1.062819875020068,0.1531197080039419,1.3635009169811385,890507.6519407992,624.828125,20260723T013213Z-85f136d9,8,11.7633514580084,resolution_cache,0.0151696250541135,0.1270214589894749,country,0.0,0.0,0.0,0.0,1142440.0583185118,0.0,10.845034788108793,10.845034788108793,0.0,7.5377973947177,7.5377973947177
si,capacity,1.0,0.25,4,4,37944,120,8,303552,2850399,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,0.9748504579765722,0.1415030840435065,1.254063084023073,242054.8087789936,646.703125,20260723T013213Z-85f136d9,8,11.656031249964144,resolution_cache,0.020384791016113,0.1131694999639876,country,0.0,0.0,0.0,0.0,311383.1434516237,0.0,5.845034788108792,5.845034788108792,0.0,4.111182774196718,4.111182774196718
si,capacity,2.0,0.25,8,8,37944,120,2,75888,1051599,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,True,False,True,False,False,False,"2022,2023,2024,2025,2026",,0.8971975409658626,0.155547208036296,1.2200023329933174,62203.15973806886,626.015625,20260723T013213Z-85f136d9,8,11.6629805410048,resolution_cache,0.0144276249920949,0.1458983329939656,country,0.0,0.0,0.0,0.0,84583.379395249,0.0,2.0,2.0,0.0,1.7596443825265995,1.7596443825265995
si,uniform,1.0,0.25,4,4,37944,120,8,303552,2850399,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,False,False,True,False,False,False,,,0.9110631249495782,0.1108787910197861,1.166892374982126,260137.1013369161,667.359375,20260723T013213Z-85f136d9,8,11.55487308296142,resolution_cache,0.0156362089910544,0.1245994589990004,country,0.0,0.0,0.0,0.0,333184.37733587314,0.0,5.845034788108792,5.845034788108792,0.0,4.111182774196718,4.111182774196718
rs,uniform,0.25,0.25,1,1,37944,342,342,12976848,91962675,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,1.2795539170037955,0.3055501250200905,1.7184708340209909,7551392.635297696,605.84375,20260723T013213Z-85f136d9,8,10.531186916981824,resolution_cache,0.0136434579617343,0.1129783330252394,country,0.0,0.0,0.0,0.0,10141696.90511096,5.538266919671094,21.454775458570523,26.99304237824162,3.3805757510935597,11.703388120245364,5.0140107589552105
si,uniform,0.25,0.25,1,1,37944,120,120,4553280,33289541,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,False,False,True,False,False,False,,,1.1704358750139363,0.3887902910355478,1.7079962499556132,2665860.654037343,603.3125,20260723T013213Z-85f136d9,8,11.80993862496689,resolution_cache,0.0159559169551357,0.1268220419879071,country,0.0,0.0,0.0,0.0,3890243.025869131,0.0,20.690702087286528,20.690702087286528,0.0,9.376024077169866,9.376024077169866
si,uniform,2.0,0.25,8,8,37944,120,2,75888,1051599,annual,"2022,2023,2024,2025,2026",0.0,82.51283997469956,0.0,0.0,67.8,93.6,0.0,0.0,0,0,False,False,True,False,False,False,,,0.9203561249887572,0.4004895000252872,1.565720165963285,48468.4311090233,628.859375,20260723T013213Z-85f136d9,8,11.560014084039722,resolution_cache,0.0198957080137915,0.2190255839959718,country,0.0,0.0,0.0,0.0,82455.03880460082,0.0,2.0,2.0,0.0,1.7596443825265995,1.7596443825265995
rs,capacity,1.0,0.25,4,4,37944,342,25,948600,7859636,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,0.9697870000381954,0.1143203749670647,1.2195508750155568,777827.329251762,626.015625,20260723T013213Z-85f136d9,8,10.3063143750187,resolution_cache,0.0146043329732492,0.1167367500020191,country,0.0,0.0,0.0,0.0,978152.934574952,3.538266919671094,10.614168247944338,12.30740037950664,1.3866925278617943,6.109426738972037,2.039873483973229
rs,capacity,2.0,0.25,8,8,37944,342,9,341496,3170881,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,0.8795574159594253,0.1208096250193193,1.1308854999952018,301972.2155792509,667.359375,20260723T013213Z-85f136d9,8,10.356185792014005,resolution_cache,0.011888374981936,0.110706209030468,country,0.0,0.0,0.0,0.0,388258.90590382274,3.0,6.0,6.0,1.1319487732386817,4.258910505130439,1.553688623763905
rs,uniform,1.0,0.25,4,4,37944,342,25,948600,7859636,annual,"2022,2023,2024,2025,2026",511.70721062618594,117.89715370018976,404.0,604.1,31.8,199.2,0.0,0.0,0,0,False,False,False,False,True,True,,,0.988285958999768,0.2816959579940885,1.4006861669477075,677239.5004565035,617.171875,20260723T013213Z-85f136d9,8,10.286852542019917,resolution_cache,0.0189719159970991,0.1081233329605311,country,0.0,0.0,0.0,0.0,959843.6478446648,3.538266919671094,10.614168247944338,12.30740037950664,1.3866925278617943,6.109426738972037,2.039873483973229
