code,rows,train_rows,test_rows,test_start,test_end,task,model,metric,calendar_score,both_score,gain,evaluation_wall_s,resolution_deg,scheme,capacity_layout,capacity_years,run_id,workers,calendar_mae,both_mae,mae_reduction
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.7405519221263166,0.8991427430700787,0.1585908209437621,6.7819474170100875,2.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.0113241157328115,0.822560619207088,0.8112365034742764,6.90304504201049,0.5,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.237823805520224,4.799974779232574,7.437849026287651
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8220071105365223,0.9504832883379596,0.1284761778014372,7.565691291994881,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.7405519221263166,0.9021911479523936,0.161639225826077,7.565691291994881,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.009739908680317,0.8470456229210668,0.8373057142407497,7.565691291994881,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.245521516628212,4.392363815056695,7.853157701571518
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.0113241157328115,0.8485721611814954,0.8372480454486838,7.565691291994881,1.0,capacity,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.237823805520224,4.369972135937511,7.867851669582715
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,LogReg,auc,0.8220071105365223,0.947901821362029,0.1258947108255067,6.906418416998349,1.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,classification,RandForest,auc,0.7405519221263166,0.894405680824366,0.1538537586980494,6.906418416998349,1.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,,,
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,GradientBoosting,r2,0.009739908680317,0.8196596846727995,0.8099197759924824,6.906418416998349,1.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.245521516628212,4.840163951186531,7.4053575654416814
nl,37942,30353,7589,2025-06-18 17:00:00+00:00,2026-04-30 21:00:00+00:00,regression,LightGBM,r2,0.0113241157328115,0.8217500190362413,0.8104259033034298,6.906418416998349,1.0,uniform,annual,"2022,2023,2024,2025,2026",20260723T013213Z-85f136d9,8,12.237823805520224,4.792966192609786,7.44485761291044
