scheme,resolution_deg,task,model,fidelity_regions,median_absolute_gain_drift,max_absolute_gain_drift,median_relative_gain_drift,cost_regions,total_wall_s,total_compute_s,total_processed_points,total_point_hours,max_peak_rss_mb,resolution_cached_regions,relationship,countries,correlation
capacity,1.0,regression,LightGBM,19,0.005335369964865833,0.0790863646300326,0.023854735152209216,19,25.417078834027052,18.861851040972397,918,34832592,699.296875,19,without_lithuania,16,0.8062629971578492
capacity,2.0,classification,LogReg,19,0.004116605626808212,0.029801781847434816,0.03871782436426436,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,all_europe,17,0.8384524174474215
capacity,2.0,classification,LogReg,19,0.004116605626808212,0.029801781847434816,0.03871782436426436,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,without_lithuania,16,0.8565918001454721
capacity,2.0,classification,RandForest,19,0.008433542369853692,0.1668206820682066,0.10188261351052151,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,all_europe,17,0.8028301420601214
capacity,2.0,classification,RandForest,19,0.008433542369853692,0.1668206820682066,0.10188261351052151,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,without_lithuania,16,0.8082935037987269
capacity,2.0,regression,GradientBoosting,19,0.01348645972329654,0.11328689000551312,0.08681074985808743,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,all_europe,17,0.797492315486848
capacity,2.0,regression,GradientBoosting,19,0.01348645972329654,0.11328689000551312,0.08681074985808743,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,without_lithuania,16,0.7967916397147544
capacity,2.0,regression,LightGBM,19,0.015213806671307673,0.1267303051156759,0.05785315514493053,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,all_europe,17,0.7900348218323725
capacity,2.0,regression,LightGBM,19,0.015213806671307673,0.1267303051156759,0.05785315514493053,19,23.824950416921638,17.05400479095988,266,10093104,699.296875,19,without_lithuania,16,0.7886142007393714
uniform,0.25,classification,LogReg,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,all_europe,17,0.8406287635142861
uniform,0.25,classification,LogReg,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,without_lithuania,16,0.8595446935024146
uniform,0.25,classification,RandForest,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,all_europe,17,0.8742655450610967
uniform,0.25,classification,RandForest,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,without_lithuania,16,0.8889638344552702
uniform,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,all_europe,17,0.8006848145403835
uniform,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,without_lithuania,16,0.7960746485652521
uniform,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,all_europe,17,0.7906257857922624
uniform,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,42.510403417865746,32.347438500029966,13172,499798368,773.90625,19,without_lithuania,16,0.7854754661037371
uniform,0.5,classification,LogReg,19,0.0004015361800829842,0.0026834139441893057,0.006445644730954244,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,all_europe,17,0.8392349270086946
uniform,0.5,classification,LogReg,19,0.0004015361800829842,0.0026834139441893057,0.006445644730954244,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,without_lithuania,16,0.8585422979294789
uniform,0.5,classification,RandForest,19,0.0012792113644724823,0.011130258041710792,0.010545804412753665,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,all_europe,17,0.8680962375129826
uniform,0.5,classification,RandForest,19,0.0012792113644724823,0.011130258041710792,0.010545804412753665,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,without_lithuania,16,0.8827379782035735
uniform,0.5,regression,GradientBoosting,19,0.0049748223493863986,0.014009639302757115,0.01395034138310615,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,all_europe,17,0.799512924420389
uniform,0.5,regression,GradientBoosting,19,0.0049748223493863986,0.014009639302757115,0.01395034138310615,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,without_lithuania,16,0.7948799841123566
uniform,0.5,regression,LightGBM,19,0.0053975981074985135,0.0266535716491015,0.01881344863462144,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,all_europe,17,0.7910172893676957
uniform,0.5,regression,LightGBM,19,0.0053975981074985135,0.0266535716491015,0.01881344863462144,19,34.19654995796736,23.922621252189856,3415,129578760,675.5,19,without_lithuania,16,0.7860906047237544
uniform,1.0,classification,LogReg,19,0.0005116985976519883,0.01034194871870181,0.010424280710574475,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,all_europe,17,0.8397339055487892
uniform,1.0,classification,LogReg,19,0.0005116985976519883,0.01034194871870181,0.010424280710574475,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,without_lithuania,16,0.8582570515778332
uniform,1.0,classification,RandForest,19,0.0015181518151815,0.01292716066598898,0.021490366616591223,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,all_europe,17,0.8690334306698245
uniform,1.0,classification,RandForest,19,0.0015181518151815,0.01292716066598898,0.021490366616591223,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,without_lithuania,16,0.882361223708444
uniform,1.0,regression,GradientBoosting,19,0.0032674092054547077,0.036724289648702335,0.018420450043964795,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,all_europe,17,0.7953927592658296
uniform,1.0,regression,GradientBoosting,19,0.0032674092054547077,0.036724289648702335,0.018420450043964795,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,without_lithuania,16,0.7910930780341049
uniform,1.0,regression,LightGBM,19,0.007656043639584692,0.03812551832389449,0.02746906486343458,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,all_europe,17,0.7879120005855104
uniform,1.0,regression,LightGBM,19,0.007656043639584692,0.03812551832389449,0.02746906486343458,19,29.7352011690964,20.523553417995572,918,34832592,699.296875,19,without_lithuania,16,0.7831970443335046
uniform,2.0,classification,LogReg,19,0.0025384885651044964,0.019197550798724594,0.031135578890372807,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,all_europe,17,0.8385802318909876
uniform,2.0,classification,LogReg,19,0.0025384885651044964,0.019197550798724594,0.031135578890372807,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,without_lithuania,16,0.8573581622059182
uniform,2.0,classification,RandForest,19,0.008407734134377703,0.1686468646864686,0.0660656735202845,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,all_europe,17,0.8119913498578736
uniform,2.0,classification,RandForest,19,0.008407734134377703,0.1686468646864686,0.0660656735202845,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,without_lithuania,16,0.816598812946893
uniform,2.0,regression,GradientBoosting,19,0.015691160436299298,0.07320745441874332,0.06392662579015673,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,all_europe,17,0.7877538793328969
uniform,2.0,regression,GradientBoosting,19,0.015691160436299298,0.07320745441874332,0.06392662579015673,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,without_lithuania,16,0.7833095570357206
uniform,2.0,regression,LightGBM,19,0.013575899326368268,0.07471769950188123,0.06896206718187736,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,all_europe,17,0.775518287705617
uniform,2.0,regression,LightGBM,19,0.013575899326368268,0.07471769950188123,0.06896206718187736,19,30.880105750984512,20.55830220686039,266,10093104,742.671875,19,without_lithuania,16,0.7709422405013907
