split_fraction,train_rows,test_rows,test_start,test_end,block_mode,block_days,temporal_blocks,requested_resamples,seed,code,country,task,model,metric,primary_metric,point_estimate,bootstrap_mean,bootstrap_median,ci_low,ci_high,confidence,valid_resamples,positive_ci,excludes_zero,direction,p_two_sided
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,485424676,at,Austria,classification,RandForest,auc_gain,True,0.08079106151913928,0.0811632079149782,0.08021255177565384,0.04436663014557021,0.12435166579855238,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1557233849,be,Belgium,classification,RandForest,auc_gain,True,0.11218186610959213,0.11228323781548162,0.11173267639059198,0.07739011684694204,0.14881721085767144,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7588,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,1880112050,bg,Bulgaria,classification,RandForest,auc_gain,True,0.03027216794738119,0.030629096000044546,0.030392587406374627,0.01705959248222605,0.04454145211477444,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,147067191,cz,Czech Republic,classification,RandForest,auc_gain,True,0.07554642394250022,0.07833245792794782,0.07410668728396475,-0.0016807561829723474,0.1798540540313953,0.95,2000,False,False,overlaps_zero,0.06596701649175413
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3581592072,de,Germany,classification,RandForest,auc_gain,True,0.24812210900479925,0.24770066998708284,0.24753718187474644,0.20549953536674434,0.29260144264143123,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30339,7585,2025-06-18T12:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,4118848249,dk,Denmark,classification,RandForest,auc_gain,True,0.3339705019752073,0.33387881893988475,0.33400409377965246,0.28076794392980775,0.385973561433779,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,156492851,es,Spain,classification,RandForest,auc_gain,True,0.11136650637198364,0.11130690828249172,0.11027672344644235,0.07351849290636264,0.1515680712006403,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30305,7577,2025-06-18T00:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1120195802,fr,France,classification,RandForest,auc_gain,True,0.08277705173888927,0.08260871613806885,0.08185126835824558,0.007454235355546404,0.15722168134181427,0.95,2000,True,True,positive,0.029985007496251874
0.8,30346,7587,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,2299880843,gr,Greece,classification,RandForest,auc_gain,True,0.15323340369286154,0.1519832724942647,0.1521991704186918,0.11155841870648024,0.19208670189525195,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,2754115982,hr,Croatia,classification,RandForest,auc_gain,True,0.19188513019612596,0.1921490151599489,0.1918695698149202,0.1381742021493727,0.2446675198753739,0.95,2000,True,True,positive,0.0009995002498750624
0.8,28868,7217,2025-05-18T22:00:00+00:00,2026-04-30T22:00:00+00:00,iso_week,7,48,2000,2169394076,ie,Ireland,classification,RandForest,auc_gain,True,0.3460322957683938,0.3464391956691693,0.3461996466808673,0.28775428830154637,0.4046641099379105,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30351,7588,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,826932186,lt,Lithuania,classification,RandForest,auc_gain,True,0.24941736665093606,0.2498987007122644,0.2498739833446506,0.2093488905954237,0.2931033560956387,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,3593180117,lv,Latvia,classification,RandForest,auc_gain,True,0.019804903908728022,0.019035794714713773,0.018500016642266637,-0.004925124029991385,0.045921265826021296,0.95,2000,False,False,overlaps_zero,0.13393303348325838
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,899312267,nl,Netherlands,classification,RandForest,auc_gain,True,0.176540172630138,0.17700413536098472,0.1765651526723569,0.1286353333119414,0.228593423022207,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30354,7589,2025-06-18T18:00:00+00:00,2026-04-30T22:00:00+00:00,iso_week,7,46,2000,3678831450,pt,Portugal,classification,RandForest,auc_gain,True,0.13517225246403808,0.13620437979711972,0.13623617356296963,0.09858295750092218,0.17769388335568193,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7589,2025-06-18T16:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,237117681,ro,Romania,classification,RandForest,auc_gain,True,0.11185450079836134,0.11412742041239989,0.11254974469224743,0.060682223379764685,0.17526159804267405,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30351,7588,2025-06-18T15:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,910377674,rs,Serbia,classification,RandForest,auc_gain,True,-0.01897038922012284,-0.019152961681899623,-0.019213279320163645,-0.05362659534438877,0.016166798600150287,0.95,2000,False,False,overlaps_zero,0.2888555722138931
0.8,30281,7571,2025-06-19T04:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3546271242,si,Slovenia,classification,RandForest,auc_gain,True,0.024831021665975395,0.02467337281630032,0.023842439577174745,-0.013902587233724803,0.06669485750504527,0.95,2000,False,False,overlaps_zero,0.22188905547226387
0.8,30308,7578,2025-06-18T22:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3601063077,sk,Slovakia,classification,RandForest,auc_gain,True,-0.000990099009900991,-0.0009946730296798753,-0.001106652420371751,-0.009423872015656703,0.00829116589525454,0.95,1278,False,False,overlaps_zero,0.8287724784988272
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,485424676,at,Austria,classification,RandForest,brier_reduction,False,0.04627302269980281,0.045806227665217296,0.04490488140874754,0.024737336675147707,0.06990855213513483,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,1557233849,be,Belgium,classification,RandForest,brier_reduction,False,0.04211309691730304,0.042248075850796846,0.04212417525211199,0.030421584759974113,0.05562478653279775,0.95,2000,True,True,positive,0.0009995002498750624
0.8,30352,7588,2025-06-18T17:00:00+00:00,2026-04-30T20:00:00+00:00,iso_week,7,46,2000,1880112050,bg,Bulgaria,classification,RandForest,brier_reduction,False,0.0038881849129081686,0.0038668823353631638,0.003848783297533416,-0.0009290971728856947,0.008688732797326305,0.95,2000,False,False,overlaps_zero,0.10394802598700649
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,147067191,cz,Czech Republic,classification,RandForest,brier_reduction,False,0.0012631924498914798,0.0012592099780088363,0.0011286989727254265,6.152351285306626e-06,0.0031118581743250244,0.95,2000,True,True,positive,0.04897551224387806
0.8,30353,7589,2025-06-18T17:00:00+00:00,2026-04-30T21:00:00+00:00,iso_week,7,46,2000,3581592072,de,Germany,classification,RandForest,brier_reduction,False,0.13389557455275422,0.13374032356771204,0.13379106356759393,0.11649766793023823,0.15173014281028904,0.95,2000,True,True,positive,0.0009995002498750624
